Country,Location,Household_Size,Head_Age,Head_Gender,Head_Education,Occupation,Monthly_Income_USD,Food_Cost_USD,Rent_Cost_USD,Transport_Cost_USD,Utilities_Cost_USD,Other_Costs_USD,Total_Expenditure_USD,Has_Mobile_Money,Savings_Rate,Monthly_Savings_USD,Has_Debt,Debt_Outstanding_USD,Remittance_Received_USD,Access_to_Healthcare,Access_to_School,Percent_Income_on_Essentials,Financial_Stress_Index
Kenya,Urban,4,54,Male,No_School,Casual_Labour,47.99,14.25,15.23,0.93,1.2,3.58,35.19,FALSE,0.124,5.95,FALSE,0,0,TRUE,TRUE,0.645,0.013
Malawi,Urban,5,48,Female,Primary,Self_Employed,195.53,59.53,41.74,7.07,15.54,106.56,230.44,FALSE,0.081,15.84,FALSE,0,0,TRUE,TRUE,0.63,0.028
Kenya,Rural,6,39,Female,Tertiary,Trader,245.03,90.89,11.35,7.44,21.8,42.5,173.98,FALSE,0.035,8.58,FALSE,0,0,FALSE,TRUE,0.534,0.014
Malawi,Urban,5,65,Female,Tertiary,Student,13.74,5,2.58,1.05,0.89,0.84,10.36,FALSE,0.07,0.96,FALSE,0,0,TRUE,TRUE,0.646,0.013
Uganda,Urban,1,31,Male,Secondary,Artisan,96.24,43.18,24.95,11.38,2.57,10.21,92.29,TRUE,0.099,9.53,FALSE,0,0,TRUE,TRUE,0.844,0.021
Cameroon,Rural,5,47,Male,Primary,Trader,100.01,48.71,6.35,4.74,5.15,19.28,84.23,FALSE,0,0,TRUE,176.81,0,FALSE,TRUE,0.643,0.028
Senegal,Rural,4,50,Male,Primary,Farmer,18.09,5.2,2.15,0.7,1.85,2.03,11.93,FALSE,0,0,FALSE,0,0,TRUE,TRUE,0.519,0.012
Zambia,Urban,1,37,Male,Primary,Farmer,73.57,30.1,20.64,9.29,3.83,0,63.86,TRUE,0.188,13.83,TRUE,739.85,0,TRUE,TRUE,0.856,0.07
Cameroon,Urban,5,47,Male,Secondary,Trader,151.75,44.14,29.13,18.4,6.82,30.56,129.05,FALSE,0.022,3.34,FALSE,0,0,FALSE,TRUE,0.645,0.019
Tanzania,Rural,3,51,Male,Secondary,Farmer,65.55,21.31,5.14,2.29,6.59,10.21,45.54,FALSE,0.106,6.95,TRUE,769.1,332.6,TRUE,TRUE,0.531,0.074
Kenya,Urban,4,43,Male,Tertiary,Salaried,462.07,184.05,125.33,54.06,59.34,75.97,498.75,TRUE,0.035,16.17,TRUE,228.97,0,TRUE,TRUE,0.913,0.029
Tanzania,Rural,4,46,Female,Tertiary,Self_Employed,140.7,50.62,1.65,6.01,7.06,23.53,88.87,TRUE,0.223,31.38,TRUE,166.13,0,FALSE,TRUE,0.461,0.015
Cameroon,Rural,6,41,Male,No_School,Salaried,161.44,58.38,6.54,8.72,1.8,15.38,90.82,FALSE,0.055,8.88,FALSE,0,0,FALSE,FALSE,0.464,0.009
Malawi,Urban,5,50,Male,No_School,Artisan,22.23,9.49,4.74,1.58,1.39,0.59,17.79,TRUE,0.082,1.82,FALSE,0,0,TRUE,TRUE,0.74,0.015
Zambia,Urban,2,37,Male,Tertiary,Salaried,348.68,148.68,138.7,21.35,17.39,52.06,378.18,TRUE,0.181,63.11,FALSE,0,0,TRUE,TRUE,0.933,0.024
Zambia,Urban,2,36,Female,Secondary,Farmer,152.8,54.03,40.62,12.87,15.95,89.54,213.01,TRUE,0.019,2.9,FALSE,0,0,TRUE,TRUE,0.803,0.036
Nigeria,Rural,4,40,Female,Primary,Salaried,321.64,98.29,50.32,23.38,6.93,9.17,188.09,FALSE,0.003,0.96,FALSE,0,0,FALSE,TRUE,0.555,0.01
Zambia,Urban,6,54,Female,Primary,Casual_Labour,11.3,5,1.18,1.32,0.37,1.13,9,FALSE,0.095,1.07,FALSE,0,0,TRUE,TRUE,0.64,0.014
Senegal,Urban,5,19,Female,Secondary,Farmer,84.36,23.57,20.76,11.64,4.12,12.81,72.9,TRUE,0.072,6.07,FALSE,0,0,FALSE,TRUE,0.704,0.018
Zambia,Rural,5,29,Female,Secondary,Trader,147.44,59.72,7.59,6.79,11.91,9.73,95.74,FALSE,0.052,7.67,FALSE,0,0,TRUE,FALSE,0.579,0.012
Cameroon,Rural,6,67,Male,Primary,Self_Employed,178.06,59.97,25.96,17.18,5.03,12.39,120.53,FALSE,0.073,13,FALSE,0,0,TRUE,TRUE,0.604,0.012
Nigeria,Urban,4,43,Male,Primary,Trader,156.47,42.66,43.06,15.65,14.42,35.62,151.41,TRUE,0.17,26.6,FALSE,0,96.41,TRUE,TRUE,0.735,0.02
Cameroon,Rural,3,35,Female,Secondary,Self_Employed,170.46,75.66,6.87,7.45,7.72,93.86,191.56,FALSE,0,0,TRUE,129.59,0,FALSE,TRUE,0.57,0.032
Cameroon,Urban,3,50,Female,Primary,Trader,272.43,95.08,83.1,24.9,3.97,33.36,240.41,FALSE,0.052,14.17,TRUE,81.55,0,TRUE,FALSE,0.757,0.021
Ghana,Urban,5,31,Female,Tertiary,Self_Employed,200.9,59.8,50.16,6.8,6.95,34.97,158.68,TRUE,0.245,49.22,FALSE,0,0,TRUE,TRUE,0.613,0.013
Nigeria,Urban,4,18,Female,Primary,Salaried,283.39,121.86,55.92,15.94,5.38,36.91,236.01,TRUE,0.14,39.67,TRUE,710.11,0,TRUE,TRUE,0.7,0.03
Cameroon,Urban,4,44,Male,Secondary,Farmer,247.79,108.54,56.8,20.92,5.27,10.92,202.45,TRUE,0.09,22.3,FALSE,0,21.63,TRUE,TRUE,0.77,0.017
Ghana,Urban,3,31,Female,Secondary,Trader,110.76,24.14,18.21,6.81,13.05,4.4,66.61,FALSE,0.085,9.41,FALSE,0,0,TRUE,TRUE,0.557,0.01
Ghana,Urban,3,41,Male,Primary,Trader,64.81,27.71,11.31,3.24,4.16,5.99,52.41,TRUE,0.126,8.17,FALSE,0,0,TRUE,TRUE,0.705,0.015
Nigeria,Rural,1,44,Male,Primary,Student,18.74,6.77,1.21,1.14,1.72,1.61,12.45,FALSE,0.053,0.99,TRUE,460.35,0,TRUE,TRUE,0.549,0.137
Tanzania,Rural,2,42,Male,Secondary,Salaried,333.67,139.47,21.23,14.21,15.9,68.51,259.32,FALSE,0.101,33.7,TRUE,129.5,0,TRUE,FALSE,0.57,0.017
Malawi,Rural,7,19,Female,No_School,Self_Employed,155.14,53.56,22.41,8.15,12.14,14.63,110.89,TRUE,0.123,19.08,FALSE,0,0,TRUE,TRUE,0.616,0.013
Senegal,Urban,2,40,Male,Primary,Trader,177.41,66.8,34.17,16.39,6.36,33.25,156.97,TRUE,0.146,25.9,FALSE,0,0,TRUE,TRUE,0.693,0.018
Malawi,Urban,4,45,Male,Primary,Self_Employed,188.76,62.05,65.27,18.55,21.02,22.45,189.34,TRUE,0.082,15.48,FALSE,0,0,FALSE,TRUE,0.879,0.023
Zambia,Urban,3,23,Female,No_School,Farmer,113.53,47.62,26.27,12.96,5.95,16.06,108.86,TRUE,0.167,18.96,FALSE,0,0,TRUE,TRUE,0.81,0.02
Senegal,Rural,3,22,Male,Tertiary,Farmer,130.96,39.68,3.59,8.25,4.54,0,56.06,TRUE,0.099,12.97,TRUE,706.49,0,FALSE,TRUE,0.425,0.033
Zambia,Rural,7,27,Male,Secondary,Trader,124.28,52.43,5.55,8.65,2.7,27.15,96.48,TRUE,0.188,23.36,FALSE,0,0,FALSE,TRUE,0.553,0.014
Cameroon,Urban,3,49,Female,Primary,Self_Employed,154.21,55.9,29.64,14.52,3.95,9.6,113.61,TRUE,0.099,15.27,FALSE,0,0,TRUE,TRUE,0.67,0.014
Kenya,Urban,2,18,Female,Tertiary,Salaried,414.39,166.99,82.54,10.16,9.03,64.48,333.2,TRUE,0.097,40.2,TRUE,550.26,0,TRUE,TRUE,0.647,0.023
Nigeria,Urban,1,50,Male,Primary,Trader,59.39,16.59,19.76,7.69,6.64,1.25,51.93,FALSE,0.11,6.53,FALSE,0,0,TRUE,TRUE,0.839,0.018
Senegal,Urban,4,45,Female,Primary,Casual_Labour,113.15,42.95,35.66,9.45,6.05,20.71,114.82,TRUE,0.064,7.24,FALSE,0,0,TRUE,TRUE,0.824,0.023
Senegal,Urban,2,37,Female,No_School,Salaried,268.95,104.17,74.63,13.92,13.79,5.87,212.38,FALSE,0.091,24.47,FALSE,0,0,TRUE,TRUE,0.765,0.016
Cameroon,Rural,4,22,Male,Secondary,Salaried,302.43,145.11,19.27,13.18,48.02,15.35,240.93,FALSE,0.022,6.65,TRUE,239.51,0,TRUE,FALSE,0.743,0.021
Tanzania,Rural,7,30,Male,Secondary,Artisan,82.42,32.87,9.2,3.74,8.72,6.35,60.88,FALSE,0.083,6.84,FALSE,0,157.07,FALSE,FALSE,0.654,0.014
Ghana,Urban,4,49,Male,No_School,Salaried,302.49,93.42,60.86,17.65,6.78,24.37,203.08,TRUE,0.114,34.48,TRUE,140.93,0,TRUE,FALSE,0.589,0.014
Cameroon,Urban,5,55,Female,No_School,Self_Employed,87.87,26.88,17.89,9.52,8.82,7.32,70.43,FALSE,0.049,4.31,FALSE,0,0,TRUE,TRUE,0.71,0.016
Rwanda,Rural,8,28,Female,Secondary,Trader,160.18,64.6,12.84,10.45,7.9,19.03,114.82,FALSE,0.08,12.81,FALSE,0,0,TRUE,TRUE,0.594,0.013
Ghana,Urban,4,54,Male,Secondary,Farmer,131.68,41.11,20.3,12.19,7.39,6.09,87.08,TRUE,0.083,10.93,FALSE,0,190.49,TRUE,TRUE,0.61,0.012
Nigeria,Urban,3,48,Female,Secondary,Student,37.7,11.82,13.1,4.5,1.59,4.39,35.4,FALSE,0.13,4.9,FALSE,0,165.34,TRUE,TRUE,0.801,0.019
Ghana,Urban,7,40,Female,Primary,Casual_Labour,72.53,21.02,19.13,3.99,4.02,13.48,61.64,FALSE,0.07,5.08,FALSE,0,0,TRUE,TRUE,0.655,0.018
Tanzania,Urban,4,31,Male,Secondary,Trader,192.8,69.28,58.99,8.01,8.08,8.98,153.34,TRUE,0.169,32.58,TRUE,92.71,0,TRUE,TRUE,0.745,0.017
Ghana,Urban,5,33,Other,Secondary,Salaried,328.41,119.98,61.75,30.44,16.36,31.09,259.62,TRUE,0.164,53.86,FALSE,0,0,TRUE,TRUE,0.694,0.014
Nigeria,Rural,8,62,Female,Secondary,Trader,162.01,53,19.7,8.52,7.68,23.08,111.98,FALSE,0.06,9.72,FALSE,0,0,TRUE,TRUE,0.545,0.013
Tanzania,Urban,4,42,Female,Primary,Artisan,124.47,58.33,45.29,18.35,9.22,1.77,132.96,TRUE,0.059,7.34,FALSE,0,0,TRUE,TRUE,1.046,0.025
Malawi,Urban,3,56,Female,No_School,Casual_Labour,79.26,30.91,11.73,5.08,5.95,86.16,139.83,TRUE,0.122,9.67,TRUE,175.7,0,TRUE,TRUE,0.669,0.058
Senegal,Rural,1,43,Male,Secondary,Farmer,117.53,55.6,6.83,8.3,7.53,14.9,93.16,TRUE,0.152,17.86,FALSE,0,0,TRUE,TRUE,0.66,0.015
Senegal,Urban,1,35,Male,Secondary,Self_Employed,185.2,66.52,34.37,17.71,19.34,146.15,284.09,TRUE,0.05,9.26,FALSE,0,0,TRUE,TRUE,0.741,0.04
Zambia,Rural,8,47,Female,Primary,Salaried,144.36,43.12,10.97,5.74,13.28,16.02,89.13,TRUE,0.127,18.33,FALSE,0,0,TRUE,TRUE,0.503,0.009
Malawi,Rural,5,66,Male,Primary,Farmer,100.79,28.26,5.66,5.06,10.03,12.17,61.18,TRUE,0.13,13.1,FALSE,0,0,TRUE,TRUE,0.481,0.009
Malawi,Urban,3,32,Male,Primary,Trader,174.75,59.66,42.76,19.85,6.59,116.41,245.27,TRUE,0.069,12.06,FALSE,0,148.71,TRUE,TRUE,0.733,0.036
Ghana,Rural,5,51,Male,Primary,Farmer,108.82,43.82,0.76,4.03,2.75,20.36,71.72,FALSE,0.069,7.51,TRUE,896.55,0,TRUE,TRUE,0.468,0.056
Senegal,Urban,4,42,Female,Primary,Casual_Labour,125.89,41.44,50.93,5.74,8.61,11.92,118.64,FALSE,0.154,19.39,FALSE,0,0,TRUE,FALSE,0.841,0.019
Nigeria,Rural,3,23,Male,Primary,Farmer,109.99,45.09,6.43,2.84,7.97,10.62,72.95,TRUE,0.114,12.54,FALSE,0,137.32,TRUE,FALSE,0.562,0.011
Uganda,Urban,1,22,Male,Primary,Casual_Labour,104.46,46.82,23.52,2.36,3.14,9.45,85.29,TRUE,0.205,21.41,FALSE,0,0,TRUE,TRUE,0.719,0.015
Uganda,Rural,5,35,Female,Primary,Casual_Labour,76.19,22.36,7.25,5.53,5.33,9.73,50.2,FALSE,0.036,2.74,FALSE,0,0,FALSE,FALSE,0.524,0.012
Tanzania,Rural,3,44,Male,Secondary,Farmer,144.83,39.54,17.83,10.19,1.21,19.95,88.72,TRUE,0.105,15.21,FALSE,0,0,TRUE,FALSE,0.472,0.01
Senegal,Urban,4,51,Female,No_School,Self_Employed,156.37,65.11,52.69,9.58,7.78,0,135.16,FALSE,0.09,14.07,FALSE,0,0,TRUE,TRUE,0.859,0.018
Senegal,Urban,9,21,Male,Secondary,Salaried,146.07,53.87,32.93,14.75,3.06,141.79,246.4,TRUE,0.039,5.7,FALSE,0,0,TRUE,TRUE,0.711,0.045
Uganda,Rural,7,48,Male,No_School,Artisan,47.35,17.65,3.25,2.32,3.43,1.73,28.38,FALSE,0.018,0.85,FALSE,0,0,FALSE,TRUE,0.551,0.01
Senegal,Rural,5,39,Male,Primary,Self_Employed,10,5,0.53,0.43,0.84,192.41,199.21,TRUE,0.155,1.55,FALSE,0,0,TRUE,TRUE,0.618,0.573
Ghana,Urban,4,40,Female,Secondary,Self_Employed,178.97,43.52,51.6,20.39,0,8.24,123.75,TRUE,0.148,26.49,FALSE,0,0,TRUE,TRUE,0.642,0.012
Rwanda,Rural,1,47,Female,Secondary,Casual_Labour,29.29,11.16,0.16,1.58,0,2.11,15.01,TRUE,0.092,2.69,FALSE,0,0,TRUE,TRUE,0.426,0.006
Kenya,Urban,7,61,Female,Secondary,Farmer,145.95,52.93,32.03,5.88,15.69,11.96,118.49,FALSE,0.067,9.78,FALSE,0,0,TRUE,TRUE,0.725,0.017
Malawi,Urban,2,44,Male,No_School,Trader,114.52,43.78,32.45,7.42,2.84,10.14,96.63,FALSE,0.05,5.73,FALSE,0,288.84,TRUE,TRUE,0.749,0.018
Zambia,Urban,7,24,Female,Secondary,Student,43.3,12.26,8.78,3.83,1.88,0.72,27.47,TRUE,0.153,6.62,FALSE,0,170.62,TRUE,TRUE,0.604,0.009
Tanzania,Urban,4,38,Male,Primary,Farmer,71.48,25.42,18.88,8.05,2.03,7.17,61.55,TRUE,0.147,10.51,TRUE,526.32,0,TRUE,TRUE,0.75,0.056
Rwanda,Rural,6,50,Male,Secondary,Casual_Labour,51.65,16.33,6.18,2.79,4.9,6.35,36.55,TRUE,0.164,8.47,FALSE,0,0,TRUE,TRUE,0.574,0.011
Uganda,Urban,5,51,Female,Primary,Self_Employed,223.97,94.75,66.73,26.02,19.77,21.33,228.6,TRUE,0.104,23.29,FALSE,0,0,TRUE,TRUE,0.921,0.023
Malawi,Rural,6,48,Male,Secondary,Trader,90.65,31.18,11.58,1.52,4.5,6.43,55.21,TRUE,0.123,11.15,FALSE,0,0,TRUE,FALSE,0.532,0.009
Senegal,Urban,6,34,Female,Secondary,Trader,72.45,22.31,17.42,3.27,5.82,79.88,128.7,FALSE,0.035,2.54,FALSE,0,0,FALSE,TRUE,0.665,0.048
Zambia,Urban,2,24,Male,Secondary,Farmer,169.95,47.69,26.15,0.6,11.63,118.23,204.3,TRUE,0.086,14.62,FALSE,0,0,FALSE,TRUE,0.503,0.029
